Rank,Repo,Total Invocations (12mo),Function Count,Functions (sample)
1,mrrobot-labs/mrrobot-logging-lambda,"1,177,967,118",3,"mrrobot-log-cleaner-lambda-ue1-prod, mrrobot-logging-lambda-ue1-prod, mrrobot-reingest-lambda-ue1-prod"
2,mrrobot-labs/mrrobot-health-rest,"191,342,253",1,mrrobot-health-rest-prod
3,emvio-trans,"183,145,976",37,"emvio-trans-production-searchTransactions, emvio-trans-production-dailyFraudApproval, emvio-trans-production-getMerchantTransactionSummary (+34 more)"
4,emvio-pay,"72,283,590",69,"emvio-pay-production-brokerCardUpdates, emvio-pay-production-processECheckFromApi, emvio-pay-production-refundTransaction (+66 more)"
5,mrrobot-labs/mrrobot-service-observability,"61,629,182",1,mrrobot-service-observability-rest-prod
6,mrrobot-labs/mrrobot-csp-reports-rest,"60,351,296",1,mrrobot-csp-reports-rest-prod
7,emvio-auth,"58,965,963",8,"emvio-auth-production-deleteSessionsForUsers, emvio-auth-production-deleteSessionsForUser, emvio-auth-production-authorizeReseller (+5 more)"
8,mrrobot-labs/coralogix-terraform,"58,093,035",5,"Coralogix-CloudTrail-xaCeVj, Coralogix-CloudWatch-3UWf6v, Coralogix-S3-aObMaO (+2 more)"
9,etl-gateway,"44,887,743",12,"etl-gateway-production-getResellers, etl-gateway-production-credentialsTester, etl-gateway-production-brokerGatewayTransactionFetch (+9 more)"
10,mrrobot-labs/mrrobot-auth-rest,"26,801,866",2,"mrrobot-auth-rest-prod, mrrobot-auth-rest-jwt-secret-rotator-prod"
11,mrrobot-labs/payment-nmi-connector,"26,660,026",2,"payment-nmiAuto-connector-prod, payment-nmi-connector-prod"
12,mrrobot-labs/payment-usaepay-connector,"26,019,496",1,payment-usaepay-connector-prod
13,emvio-chargeback,"21,522,419",17,"emvio-chargeback-production-brokerChargebackCreate, emvio-chargeback-production-getDisputes, emvio-chargeback-production-createChargebackExportBroker (+14 more)"
